pe_code,title
0605718A,Army Modeling & Sim X-Cmd Collaboration & Integ
0605766A,National Capabilities Integration (MIP)
0605801A,Programwide Activities
0605803A,Technical Information Activities
0605804N,Technical Information Services
0605805A,Munitions Standardization, Effectiveness and Safety
0605807F,Test and Evaluation Support
0605812A,Joint Light Tactical Vehicle (JLTV) Engineering and Manufacturing Development Phase (EMD)
0605813M,Joint Light Tactical Vehicle (JLTV) System Development & Demonstration
0605827F,Acq Workforce- Global Vig & Combat Sys
0605828F,Acq Workforce- Global Reach
0605829F,Acq Workforce- Cyber, Network, & Bus Sys
0605830A,Aviation Ground Support Equipment
0605831F,Acq Workforce- Capability Integration
0605832F,Acq Workforce- Advanced Prgm Technology
0605833F,Acq Workforce- Nuclear Systems
0605853N,Management, Technical  & International Support
0605856N,Strategic Technical Support
0605857A,Environmental Quality Technology Mgmt Support
0605863N,RDT&E Ship and Aircraft Support
0605864N,Test and Evaluation Support
0605865N,Operational Test and Evaluation Capability
0605866N,Navy Space and Electronic Warfare (SEW) Support
0605873M,Marine Corps Program Wide Support
0605898A,Army Direct Report Headquarters - R&D - MHA
0605898E,Management HQ - R&D
0605898F,Management HQ - R&D
0605898N,Management HQ - R&D
0605976F,Facilities Restoration and Modernization - Test and Evaluation Support
0605978F,Facilities Sustainment - Test and Evaluation Support
0606003A,CounterIntel and Human Intel Modernization
0606004F,Nuclear Enterprise Research & Development
0606005F,Digital Transformation Office
0606017F,Requirements Analysis and Maturation
0606018F,NC3 Integration
0606118A,AIAMD Software Development & Integration
0606295M,Marine Aviation Developmental Management and Support
0606355N,Warfare Innovation Management
0606398F,Management HQ - T&E
0606942A,Assessments and Evaluations Cyber Vulnerabilities
0607101A,Combating Weapons of Mass Destruction (CWMD) Product Improvement
0607131A,Weapons and Munitions Product Improvement Programs
0607136A,Blackhawk Product Improvement Program
0607137A,Chinook Product Improvement Program
0607138A,UAS Payload Interoperability
0607139A,Improved Turbine Engine Program
0607142A,Aviation Rocket System Product Improvement and Development
0607143A,Unmanned Aircraft System Universal Products
0607145A,Apache Future Development
0607148A,AN/TPQ-53 Counterfire Target Acquisition Radar System
0607150A,Intel Cyber Development
0607212A,TENCAP Enhancements
0607312A,Army Operational Systems Development
0607313A,Electronic Warfare Development
0607327T,Global Theater Security Cooperation Management Information Systems (G-TSCMIS)
0607658N,Cooperative Engagement Capability (CEC)
0607665A,Family of Biometrics
0607865A,Patriot Product Improvement
0608013N,Risk management Information - Software Pilot Program
0608041A,Defensive CYBER - Software Prototype Development
0608231N,Maritime Tactical Command and Control (MTC2) - Software Pilot Program
0609135A,Counter Unmanned Aerial Systems (UAS) Agile Development
0609277A,Electronic Warfare Agile Development
0609278A,Electronic Warfare Agile Systems Development
0609345A,Unmanned Aerial Systems Launched Effects Agile Systems Development
0609346A,UAS Launched Effects Agile Development
0701200F,Enterprise Select Class II
0701212F,Automated Test Systems
0702207N,Depot Maintenance (Non-IF)
0702806F,Acquisition and Management Support
0708012K,Logistics Support Activities
0708012S,Pacific Disaster Centers
0708045A,End Item Industrial Preparedness Activities
0708047S,Defense Property Accountability System
0708051F,Rapid Sustainment Modernization (RSM)
0708081D,Chemical Materials Agency
0708083D,Assembled Chemical Weapons Alternatives
0708730N,Maritime Technology (MARITECH)
0801380F,AF LVC Operational Training (LVC-OT)
0804743F,Other Flight Training
0804772F,Training Developments
0804776F,Advanced Distributed Learning
0808736F,Special Victim Accountability and Investigation
0808737F,Integrated Primary Prevention
0901202F,Joint Personnel Recovery Agency
0901218F,Civilian Compensation Program
0901220F,Personnel Administration
0901226F,Air Force Studies and Analysis Agency
0901410F,Contracting Information Technology System
0901517X,Inspector General, DoD, Audit, Intelligence and Non-Criminal Investigative Activities
0901538F,Financial Management Information Systems Development
0901554F,Defense Enterprise Acntng and Mgt Sys (DEAMS)
0901598C,Management HQ - MDA
0902498N,Management Headquarters (Departmental Support Activities)
0903235K,Joint Service Provider (JSP)
0904903D,Defense-Wide Resources
0909999A,Financing for Cancelled Account Adjustments
0909999F,Financing for Cancelled Account Adjustments
0909999N,Financing for Cancelled Account Adjustments
1001004F,International Activities
1201921F,Service Support to STRATCOM - Space Activities
1202140F,Service Support to SPACECOM Activities
1203176F,Combat Survivor Evader Locator
1203610K,Teleport Program
1206893S,Tactical SATCOM Agility
(809 rows)
